signaldate,Fuel oil temperature supply unit(ams),TC Bearing Oil Pressure Inlet TC #01(ams),Estimated engine load(ems),Turbocharger 1 speed(ems),VIT intermediate result A(ems),VIT intermediate result B(ems),VIT intermediate result C(ems),VIT intermediate result D(ems),Common Start of Injection(ems),Scav. Air Press. Mean Value(ems),Compression Pressure Average(ems),Firing Pressure Average(ems),Relative Engine Speed(ems),Exhaust Gas Average Temperature(ems),Exh. valve opening angle at CMCR(ems),Exh. valve closing angle at CMCR(ems),Cyl. lub. distribution share above piston(ems),Cyl. lub. distribution share below piston(ems),Cyl. lub. distribution share into piston(ems),Engine External Speed Setpoint(ems),Engine Internal Speed Setpoint(ems),MFI Demand(ems),Limited MFI PID MAX value(ems),Fuel Pressure Setpoint(ems),Fuel Pump Setpoint Master Controller(ems),Fuel Pump Setpoint Slave Controller(ems),Barometric Pressure 1(ems),Exh. valve opening angle Cyl_mean,Exh. valve opening angle Cyl_min,Exh. valve opening angle Cyl_max,Firing Pr. Balancing Injection Offset Cyl_mean,Firing Pr. Balancing Injection Offset Cyl_min,Firing Pr. Balancing Injection Offset Cyl_max,Start of Injection Cyl_mean,Start of Injection Cyl_min,Start of Injection Cyl_max,Engine speed(scr)
2021-10-03 09:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,84.28333333333335,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.107666666666667,-3.6313333333333335,-2.562,0.0
2021-10-03 10:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,79.66666666666667,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.068555555555556,-3.535333333333333,-2.7466666666666666,0.0
2021-10-03 11:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,76.65,120.0,259.0,70.0,5.0,25.0,0.7569306666666668,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.104111111111111,-3.6313333333333335,-2.6046666666666667,0.0
2021-10-03 12:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,74.75,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1007.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0756666666666668,-3.6313333333333335,-2.615333333333333,0.0
2021-10-03 13:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,72.91666666666667,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1007.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0827777777777783,-3.7273333333333336,-2.4873333333333334,0.0
2021-10-03 14:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,71.8,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1007.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.114777777777778,-3.706,-2.5726666666666667,0.0
2021-10-03 15:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,70.53333333333333,120.0,259.0,70.0,5.0,25.0,0.7530709999999999,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.136111111111111,-3.642,-2.796666666666667,0.0
2021-10-03 16:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,69.41666666666667,120.0,259.0,70.0,5.0,25.0,0.753,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.081,-3.5666666666666664,-2.7786666666666666,0.0
2021-10-03 17:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,68.16666666666667,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.034777777777778,-3.5886666666666667,-2.615333333333333,0.0
2021-10-03 18:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,67.16666666666667,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0578888888888884,-3.5886666666666667,-2.615333333333333,0.0
