TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load(ems),matched_load,matched_date,deltas,Ref_Pcomp_Pscav,Ref_PR,Ref_Pmax,Ref_Ntc,Ref_Ntc_Pscav,Ref_Pcomp,Ref_Pscav,Ref_Texh
65.12457,1.8104085,325.22083,11351.127,82.82541,20.344446,5891.745,33.97661,53.547894,53.55791666666666,2021-12-10 17:00:00,0.010022666666657187,32.01001739501953,14.506053924560547,81.73573303222656,11630.6826171875,5629.6962890625,66.72988891601562,2.06797194480896,313.6527099609375
65.1122,1.8377386,327.23276,11313.426,82.067345,20.403206,5933.868,33.94688,53.51982,53.51925,2022-05-03 12:00:00,0.0005700000000032901,32.53839111328125,20.886268615722656,82.80065155029297,11565.2080078125,5753.4482421875,67.00020599365234,1.9694252014160156,325.6741027832031
64.858826,1.9577559,324.86957,11399.341,82.21765,20.393932,6020.097,33.99112,53.35317,53.337633333333336,2021-12-10 15:00:00,0.015536666666662313,32.01991271972656,14.560641288757324,81.43543243408203,11585.705078125,5650.18212890625,66.73917388916016,2.0667099952697754,311.28070068359375
64.93444,1.8676665,330.53955,11117.899,82.15783,20.232372,5990.1836,33.839344,53.483562,53.484116666666665,2021-12-11 19:00:00,0.0005546666666660371,32.08906936645508,15.261588096618652,82.4702377319336,11581.2138671875,5668.2001953125,67.01776885986328,2.045987844467163,318.0576171875
64.86736,1.9193071,328.99503,11481.137,82.67972,20.28308,5898.534,33.801895,52.77527,52.76266666666667,2021-12-12 05:00:00,0.01260333333333108,32.235107421875,15.3101167678833,81.47053527832031,11525.9365234375,5740.36376953125,66.30378723144531,2.008390188217163,315.7605285644531
64.72052,1.9432167,322.9038,11140.261,82.16713,20.201952,5951.5303,33.99185,53.651047,53.65248333333333,2022-05-06 18:00:00,0.0014363333333307082,32.27647399902344,20.219650268554688,82.71739959716797,11630.380859375,5835.9599609375,64.97898864746094,1.9754509925842285,329.7247009277344
65.120224,1.9297689,328.4273,11187.069,82.69511,20.194048,6002.1763,33.886066,53.86988,53.83116666666666,2021-12-11 14:00:00,0.03871333333334093,32.11522674560547,15.445026397705078,82.78314971923828,11605.0595703125,5651.7421875,66.90613555908203,2.044534921646118,319.5006103515625
65.0464,1.9464654,317.92944,11095.918,82.63274,20.129272,5918.617,33.868763,53.255535,53.27426666666667,2021-12-12 07:00:00,0.01873166666666748,32.12575912475586,15.22953987121582,81.65516662597656,11544.654296875,5722.31396484375,66.91812896728516,2.040182113647461,316.03643798828125
65.073,1.8726835,326.84824,11339.673,82.24157,20.68334,5955.5415,33.820766,53.105038,53.10926666666666,2021-12-10 08:00:00,0.0042286666666626616,32.028160095214844,14.578461647033691,81.16903686523438,11563.138671875,5668.13427734375,66.76753997802734,2.055278778076172,310.66290283203125
64.65286,1.8447334,322.94785,11311.489,81.98854,20.385748,5979.6543,34.098206,53.274864,53.27426666666667,2021-12-12 07:00:00,0.0005973333333315622,32.12575912475586,15.22953987121582,81.65516662597656,11544.654296875,5722.31396484375,66.91812896728516,2.040182113647461,316.03643798828125
64.800354,1.8460971,324.40906,11162.285,81.76458,20.12891,5973.284,33.94967,53.323654,53.321916666666674,2022-04-29 12:00:00,0.0017373333333239316,32.606449127197266,19.69147300720215,82.7794418334961,11534.263671875,5837.0146484375,65.34708404541016,2.0181267261505127,315.7177734375
65.04978,1.9146843,334.06033,11302.257,81.93582,20.298403,5945.607,34.076664,53.13418,53.12505,2021-12-09 01:00:00,0.009129999999998972,31.91517448425293,14.45406436920166,81.61213684082031,11634.9033203125,5613.51171875,67.10914611816406,2.086754322052002,312.1584777832031
65.03133,1.9117568,326.48013,11447.607,82.21175,20.53832,5974.949,34.126724,53.234814,53.21286666666666,2021-12-08 18:00:00,0.02194733333333687,31.930465698242188,14.560382843017578,81.75436401367188,11638.0,5615.3603515625,66.9324951171875,2.091578722000122,313.2398986816406
64.981316,1.9499466,321.54532,11407.258,82.36758,20.168205,5981.285,34.13886,53.410976,53.41291666666667,2022-04-29 10:00:00,0.0019406666666696992,32.5357666015625,18.8627986907959,82.85281372070312,11555.791015625,5803.43701171875,65.5493392944336,2.0322742462158203,313.6856994628906
64.97681,1.8894722,323.00912,11493.897,82.71485,20.701427,6001.9873,34.058037,53.432896,53.41898333333333,2021-12-08 17:00:00,0.013912666666669793,31.939481735229492,14.667377471923828,81.72838592529297,11644.318359375,5643.1181640625,66.89109802246094,2.0912489891052246,314.9769592285156
65.24171,1.9355259,320.42035,11147.739,82.54323,20.381636,5926.8613,33.85367,53.2369,53.21286666666666,2021-12-08 18:00:00,0.02403333333333535,31.930465698242188,14.560382843017578,81.75436401367188,11638.0,5615.3603515625,66.9324951171875,2.091578722000122,313.2398986816406
64.64056,2.0279,319.81055,11214.815,82.391815,20.480883,5950.0312,34.03914,53.375782,53.37095,2021-12-11 21:00:00,0.0048320000000003915,32.14082717895508,15.210384368896484,82.39122009277344,11586.7470703125,5669.9775390625,66.75918579101562,2.02724552154541,318.6431884765625
64.93249,1.9268267,323.37943,11300.357,81.94643,20.19958,5968.771,34.03901,53.153313,53.14816666666667,2021-12-12 03:00:00,0.005146333333328812,32.22113037109375,15.518129348754883,82.33380126953125,11536.97265625,5701.96044921875,66.68441772460938,2.0232017040252686,319.2645568847656
