Date Time,Estimated engine load(ems),matched_load,matched_date,deltas,TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Ref_Pcomp,Ref_Pscav,Ref_Texh,Ref_Ntc,Ref_Pmax,Ref_PR,Ref_Ntc_Pscav,Ref_Pcomp_Pscav,InjSysFault,StaInjLate,StaInjEarly,ExhValvLeak,BloCombChabr,ExhValEarOpn,ExhValLatOpn,ExhValEarlClos,ExhValLatClos
2023-12-06 04:00:00,53.547894,53.55791666666666,2021-12-10 17:00:00,0.0100226666666571,65.12457,1.8104085,325.22083,11351.127,82.82541,20.344446,5891.745,33.97661,66.72988891601562,2.06797194480896,313.6527099609375,11630.6826171875,81.73573303222656,14.506053924560549,5629.6962890625,32.01001739501953,20.0,20.0,40.0,0.0,0.0,30.0,10.0,30.0,40.0
2023-12-06 05:00:00,53.51982,53.51925,2022-05-03 12:00:00,0.0005700000000032,65.1122,1.8377386,327.23276,11313.426,82.067345,20.403206,5933.868,33.946884,67.00020599365234,1.969425201416016,325.6741027832031,11565.2080078125,82.80065155029297,20.886268615722656,5753.4482421875,32.53839111328125,20.0,20.0,20.0,10.0,10.0,50.0,20.0,40.0,40.0
2023-12-06 06:00:00,53.35317,53.337633333333336,2021-12-10 15:00:00,0.0155366666666623,64.858826,1.9577557,324.86957,11399.34,82.21765,20.393934,6020.097,33.99112,66.73917388916016,2.0667099952697754,311.2807006835937,11585.705078125,81.43543243408203,14.560641288757324,5650.18212890625,32.01991271972656,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 07:00:00,53.483562,53.484116666666665,2021-12-11 19:00:00,0.000554666666666,64.93444,1.8676667,330.53958,11117.899,82.15783,20.232372,5990.1836,33.839344,67.01776885986328,2.045987844467163,318.0576171875,11581.2138671875,82.4702377319336,15.261588096618652,5668.2001953125,32.08906936645508,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 08:00:00,52.77527,52.76266666666667,2021-12-12 05:00:00,0.012603333333331,64.86736,1.9193071,328.995,11481.137,82.67972,20.28308,5898.534,33.801895,66.30378723144531,2.008390188217163,315.7605285644531,11525.9365234375,81.47053527832031,15.3101167678833,5740.36376953125,32.235107421875,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 09:00:00,53.651047,53.65248333333333,2022-05-06 18:00:00,0.0014363333333307,64.72052,1.9432167,322.9038,11140.261,82.16713,20.201952,5951.5303,33.99185,64.97898864746094,1.9754509925842283,329.7247009277344,11630.380859375,82.71739959716797,20.219650268554688,5835.9599609375,32.27647399902344,20.0,20.0,20.0,10.0,10.0,50.0,20.0,40.0,40.0
2023-12-06 10:00:00,53.86988,53.83116666666666,2021-12-11 14:00:00,0.0387133333333409,65.120224,1.9297692,328.4273,11187.069,82.69511,20.194048,6002.1763,33.886066,66.90613555908203,2.044534921646118,319.5006103515625,11605.0595703125,82.78314971923828,15.445026397705078,5651.7421875,32.11522674560547,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 11:00:00,53.255535,53.27426666666667,2021-12-12 07:00:00,0.0187316666666674,65.0464,1.9464654,317.92944,11095.918,82.63274,20.129274,5918.617,33.868763,66.91812896728516,2.040182113647461,316.03643798828125,11544.654296875,81.65516662597656,15.22953987121582,5722.31396484375,32.12575912475586,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 12:00:00,53.105038,53.10926666666666,2021-12-10 08:00:00,0.0042286666666626,65.073,1.8726835,326.84824,11339.673,82.24157,20.68334,5955.542,33.820766,66.76753997802734,2.055278778076172,310.66290283203125,11563.138671875,81.16903686523438,14.578461647033691,5668.13427734375,32.028160095214844,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 13:00:00,53.274864,53.27426666666667,2021-12-12 07:00:00,0.0005973333333315,64.65286,1.8447334,322.94785,11311.489,81.98854,20.385748,5979.6543,34.098206,66.91812896728516,2.040182113647461,316.03643798828125,11544.654296875,81.65516662597656,15.22953987121582,5722.31396484375,32.12575912475586,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 14:00:00,53.323654,53.321916666666674,2022-04-29 12:00:00,0.0017373333333239,64.800354,1.8460971,324.40906,11162.285,81.76458,20.12891,5973.284,33.94967,65.34708404541016,2.0181267261505127,315.7177734375,11534.263671875,82.7794418334961,19.69147300720215,5837.0146484375,32.606449127197266,20.0,20.0,20.0,10.0,10.0,50.0,20.0,40.0,40.0
2023-12-06 15:00:00,53.13418,53.12505,2021-12-09 01:00:00,0.0091299999999989,65.04978,1.9146843,334.06033,11302.257,81.93582,20.298403,5945.607,34.076664,67.10914611816406,2.086754322052002,312.1584777832031,11634.9033203125,81.61213684082031,14.45406436920166,5613.51171875,31.91517448425293,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
2023-12-06 16:00:00,53.234814,53.21286666666666,2021-12-08 18:00:00,0.0219473333333368,65.03133,1.9117568,326.48013,11447.607,82.21175,20.53832,5974.949,34.126724,66.9324951171875,2.091578722000122,313.2398986816406,11638.0,81.75436401367188,14.560382843017578,5615.3603515625,31.930465698242188,20.0,20.0,30.0,0.0,0.0,40.0,20.0,40.0,50.0
